STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,AGE,Age class,LMS,Legal marital status,HST,Household status,FST,Familly status,HAR,Housing arrangements,LOC_SIZE,Size of the locality,WSTATUS,Working status,EDU,Educational level,SIE,Employment status,LPW,Place of work,C_BIRTH,Country of birth,YAE,Year of arrival in the country since 1980,YAT,Year of arrival in the country since 2010,ROY,Place of usual residence one year prior to the census,GEO,Geographic level,ACTIVITY,Economic activity (NACE Rev.2),CITIZEN,Citizenship,ISCO08,Occupation (ISCO-08),TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000408,Lorentzweiler,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,5,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,DIV_DISREP,Divorced or registered partnership legally dissolved (and not remarried or in a re­ gistered partnership),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000101,Dippach,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,152,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,SIN,Never married and never in a registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000502,Wincrange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,2048,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,DIV_DISREP,Divorced or registered partnership legally dissolved (and not remarried or in a re­ gistered partnership),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000107,Kopstal,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,90,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,SIN,Never married and never in a registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000106,Koerich,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,663,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000601,Bettendorf,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,14,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001108,Wormeldange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1516,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,WID_DTHREP,Widowed or registered partnership ended with the death of partner (and not re­ married or in a registered partnership),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000707,Saeul,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,7,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,DIV_DISREP,Divorced or registered partnership legally dissolved (and not remarried or in a re­ gistered partnership),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000203,Dudelange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1820,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000203,Dudelange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,10874,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000206,Kayl,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,19,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,SIN,Never married and never in a registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000501,Clervaux,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1397,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000503,Parc Hosingen,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1950,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,SIN,Never married and never in a registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001106,Manternach,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,468,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001102,Biwer,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1894,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000902,Putscheid,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,4,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000802,Esch-sur-Sûre,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,2991,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000202,Differdange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,58,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,DIV_DISREP,Divorced or registered partnership legally dissolved (and not remarried or in a re­ gistered partnership),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000504,Troisvierges,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,114,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,SIN,Never married and never in a registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000202,Differdange,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,7435,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,MAR_REP,Married or in registered partnership,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000705,Grosbous,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,255,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000410,Nommern,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP1_3@DF_B1609(1.0),"Population by canton and municipality, legal marital status and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001004,Consdorf,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,1012,,0,Units,0,Zero
