LAU,commune,pop_total_2021,pop_0_14,pop_15_64,pop_65p,share_65p,old_dep_ratio,youth_dep_ratio,share_foreign_citizenship,share_foreign_born,share_never_married,share_divorced,share_widowed,share_not_in_family_nucleus,share_private_household,share_institutional,LAU_trim
LU0001206,Schengen,10150,1634,6860,1656,16.31527093596059,24.1399416909621,23.81924198250729,29.123152709359605,32.610837438423644,,,,18.088669950738918,98.77832512315271,1.2216748768472907,01206
LU0000709,Vichten,2730,502,1902,326,11.941391941391942,17.139852786540484,26.393270241850686,25.494505494505493,27.692307692307693,,,,18.60805860805861,100.0,0.0,00709
LU0001008,Waldbillig,3816,738,2694,384,10.062893081761008,14.253897550111358,27.39420935412027,28.09224318658281,31.656184486373167,,,,17.71488469601677,100.0,0.0,01008
LU0001006,Rosport - Mompach,7276,1224,4984,1068,14.678394722374932,21.428571428571427,24.558587479935795,26.553051126992855,30.8411214953271,,,,15.36558548653106,98.98295766904893,1.017042330951072,01006
LU0000703,Ell,3094,462,2268,364,11.76470588235294,16.049382716049383,20.37037037037037,31.60956690368455,33.93665158371041,,,,20.103425985778927,100.0,0.0,00703
LU0000801,Boulaide,2876,502,1932,442,15.368567454798331,22.87784679089027,25.98343685300207,25.17385257301808,27.677329624478443,,,,16.27260083449235,100.0,0.0,00801
LU0000808,Winseler,2840,352,1960,528,18.591549295774648,26.93877551020408,17.959183673469386,44.71830985915493,46.19718309859155,,,,28.098591549295776,100.0,0.0,00808
LU0000213,Sanem,35928,5790,24364,5774,16.07103095079047,23.698900016417664,23.764570678049584,35.921843687374746,38.298819861946114,,,,19.650411934981076,96.97728790915163,3.0227120908483633,00213
LU0000303,Hesperange,31670,5486,21070,5114,16.14777391853489,24.271476032273377,26.03701945894637,54.24692137669719,55.04894221660878,,,,21.21250394695295,98.32649194821597,1.6735080517840228,00303
LU0001002,Bech,2660,412,1840,408,15.338345864661655,22.17391304347826,22.39130434782609,27.44360902255639,32.33082706766917,,,,16.165413533834585,100.0,0.0,01002
LU0000802,Esch-sur-Sûre,5982,1032,4210,740,12.37044466733534,17.577197149643705,24.513064133016627,31.761952524239383,34.77097960548311,,,,19.72584419926446,96.15513206285523,3.844867937144768,00802
LU0000601,Bettendorf,5886,910,4086,890,15.120625212368333,21.78169358786099,22.27116984826236,39.007815154604145,39.55147808358818,,,,15.732246007475364,100.0,0.0,00601
LU0000103,Habscht,9836,1538,6858,1440,14.64009760065067,20.99737532808399,22.426363371245262,35.339568930459535,39.30459536396909,,,,17.730784871899147,100.0,0.0,00103
LU0000503,Parc Hosingen,7668,1340,5344,984,12.832550860719873,18.41317365269461,25.0748502994012,26.525821596244132,29.290558163797602,,,,17.76212832550861,99.21752738654148,0.7824726134585289,00503
LU0000202,Differdange,57064,10166,40334,6564,11.502873966073182,16.27411117171617,25.20454207368473,53.3891770643488,52.3026776952194,,,,22.0909855600729,99.2008972381887,0.7430253750175242,00202
LU0000707,Saeul,1920,354,1366,200,10.416666666666668,14.641288433382138,25.91508052708638,27.291666666666664,29.895833333333332,,,,19.791666666666664,100.0,0.0,00707
LU0000702,Preizerdaul,3528,564,2474,490,13.88888888888889,19.805982215036376,22.797089733225544,24.829931972789115,27.32426303854875,,,,14.625850340136054,100.0,0.0,00702
LU0000901,Tandel,4414,782,3078,554,12.550974173085635,17.998700454840804,25.406107862248213,33.48436792025374,32.9859537834164,,,,16.4929768917082,95.65020389669235,4.349796103307658,00901
LU0000608,Reisdorf,2626,472,1836,318,12.10967250571211,17.320261437908496,25.70806100217865,42.95506473724296,41.584158415841586,,,,17.593297791317593,100.0,0.0,00608
LU0001101,Betzdorf,8252,1604,5606,1042,12.627241880756179,18.587227970032107,28.612201212986086,33.66456616577799,36.96073679108095,,,,13.523994183228307,96.48570043625789,3.514299563742123,01101
LU0001001,Beaufort,6008,1114,4194,700,11.651131824234353,16.690510252742012,26.561754887935145,41.61118508655127,40.279627163781626,,,,16.711051930758988,97.43675099866844,2.563249001331558,01001
LU0000310,Walferdange,17054,2924,11452,2678,15.703060865486105,23.384561648620327,25.53265805099546,51.61252492083969,54.380204057699075,,,,21.121144599507446,99.24944294593644,0.7505570540635628,00310
LU0000804,Goesdorf,3260,548,2320,392,12.024539877300613,16.896551724137932,23.620689655172413,23.12883435582822,25.828220858895705,,,,17.05521472392638,100.0,0.0,00804
LU0001203,Lenningen,4094,692,2906,496,12.115290669272106,17.068134893324157,23.812801101169992,32.04689789936492,34.97801660967269,,,,14.215925744992672,100.0,0.0,01203
LU0000110,Steinfort,11434,1738,7786,1910,16.704565331467553,24.53120986385821,22.322116619573592,38.63914640545741,42.73220220395312,,,,19.22336889977261,99.63267447962217,0.36732552037782057,00110
LU0000502,Wincrange,9342,1614,6338,1390,14.879040890601583,21.93120858314926,25.465446513095614,28.66623849282809,30.186255619781633,,,,16.870049239991435,99.33633055020337,0.6636694497966175,00502
LU0000302,Contern,8308,1362,5466,1480,17.814155031295137,27.07647274057812,24.91767288693743,36.18199325950891,39.98555609051517,,,,15.936446798266731,97.4000962927299,2.599903707270101,00302
LU0000902,Putscheid,2254,454,1520,280,12.422360248447205,18.421052631578945,29.86842105263158,22.892635314995562,24.84472049689441,,,,13.487133984028393,99.46761313220941,0.5323868677905945,00902
LU0001004,Consdorf,4252,754,2852,646,15.192850423330198,22.6507713884993,26.43758765778401,28.080903104421452,30.385700846660395,,,,15.33396048918156,97.17779868297272,2.8222013170272815,01004
LU0000210,Reckange-sur-Mess,5368,942,3552,874,16.281669150521612,24.605855855855857,26.52027027027027,21.311475409836063,25.745156482861404,,,,15.722801788375559,100.0,0.0,00210
LU0000604,Erpeldange-sur-Sûre,4870,714,3200,956,19.630390143737166,29.875,22.3125,27.022587268993842,30.102669404517453,,,,19.917864476386036,97.782340862423,2.217659137577002,00604
LU0000406,Larochette,4412,736,3090,586,13.281958295557569,18.96440129449838,23.818770226537218,55.21305530371714,53.08250226654578,,,,18.812330009066184,99.68268359020853,0.3173164097914778,00406
LU0000607,Mertzig,4586,886,3140,560,12.211077191452247,17.8343949044586,28.21656050955414,26.733536851286527,29.175752289576973,,,,13.03968600087222,99.73833406018316,0.26166593981683384,00607
LU0001205,Remich,7638,1028,4880,1730,22.64990835297198,35.450819672131146,21.065573770491802,44.95941345902069,47.9706729510343,,,,25.923016496465046,97.30295888976171,2.6970411102382825,01205
LU0001102,Biwer,3788,634,2590,564,14.889123548046463,21.776061776061777,24.47876447876448,29.725448785638857,33.21013727560718,,,,12.143611404435058,94.61457233368532,5.385427666314678,01102
LU0000706,Redange-sur-Attert,5936,902,4022,1012,17.048517520215633,25.161611138736944,22.42665340626554,27.560646900269543,31.19946091644205,,,,17.756064690026953,97.00134770889488,2.998652291105121,00706
